name,lots,special,soft_wood,hard_wood,soft_iron,hard_iron,scrap_leather,heavy_leather,stone,wool,hemp,meat,vegetables,common_labor,uncommon_labor,uncommon_labor_type,Security,Order,Fear,Finance,Trade,Production,Hope,Faith,Tradition,Subversion,Scorn,Abuse,Spoil,Squalor,Degredation,Cruelty,Tragedy,Atrocity,Gravity
Academy ,2,"** Paying the Vocation cost at a given level, gain Instruction in any Skill. Public Library. _Discount : Library, Upgrade: Military Academy, University_

",5200,,,,13000,2600,,,5200,,,15600,10400,,+3,,,,,+3,,+3,+4,+1,+3,,,,,,+1,,
Alchemist ,1,"**Adds herbs and drugs to general market / Must be adjacent to Housing

",3200,,800,,1600,,1600,,,,800,8000,,,,,,+2,,+1,,,-2,,+1,,,+1,,,+1,+1,
Archangel Statue ,2,"**

",,,,4000,,,16000,,,,,12000,8000,liturgy,,,,,,,+5,,,,,,,,,,,,
Arena ,4,"** Gravity +1

",,2800,,2800,,,5600,,1400,,1400,14000,,,,,+5,+3,+5,,-2,+5,,,-5,+2,+1,,,,+5,+2,+1
Bardic College ,2,"** Gravity +1

",8000,,,,10000,,0,,4000,2000,2000,12000,,,,,,+3,+3,,,,+3,+2,+3,-3,,,+1,,,,+1
Barracks ,1,"** Upgrades to Garrison.

",2400,,800,,400,,0,,,,400,4000,,,+1,+2,+1,,,,,,,+1,,+1,,,,,+1,,
Brewery ,1,"** Produces beer

",1600,,,,800,,0,,,,1600,4000,,,,,,,,+1,,,,,,,,,+1,,,,
Bridge ,1,"** Can be placed across water paths.

",1600,,800,,,,1600,,,,,4000,,,,,,+1,,,,,,,,,,,,,,,
Brothel ,1,"** Characters may benefit from therapy without aid of another player for 2 silver. They gain Lust 1.

",4000,,,,1000,,0,,3000,1000,1000,10000,,,,,,+2,+3,,,+1,-2,+1,,+2,,+2,,,,,
Bureau ,2,"**

",1800,,,,,,0,,3600,,,6000,,,+3,,,+1,,,,,,+1,,+3,,,,,,,
Bursary ,1,"** Allows bursar services

",2400,,,4800,,,4800,,,,,12000,,,,,,+1,,,,,,,,,,,,,,,
Butchery ,1,"** Food costs on construction and military upkeep are reduced 10%. You may benefit up to 5x.

",4800,,1600,,,,1600,,,,,8000,,,,,,+2,+1,+5,,,,,,,+3,+5,,,,,
Castle ,4,"** Creates a retreat for another battle if the city is lost.

",5400,,2700,2700,,,10800,,,5400,,16200,10800,any combat,+5,+5,+5,,,,,,+3,,,+2,,,,,,,
Cathedral ,4,"** Gravity +1. Gothic characters may take one free therapy per downtime._Discount: Church_

",2400,,,4800,,,4800,,,,,12000,,,,,,,,,+5,+5,+5,,+3,+2,,,,-3,-3,,+1
Church ,2,"**_Discount: Shrine, Bursary, Hospital. Upgrade: Cathedral, Monastary_

",4800,1600,1600,,1600,,4800,,1600,,,1600,,,,,,,-2,,+4,+2,+3,,+1,+2,,,,,,,
Cistern ,1,"** May not be adjacent to a dump, graveyard, crypt, necropolis, stable, stockyard, or tannery.

",0,,300,,,,900,,,,,4800,,,,,,,,,,,,,,,,,,,,,
Civic Monument ,1,"** The creator may describe the monument and what it represents. Citizens of Stragosa will know this story.

",,,,,,,3000,,,,,3000,,,,,,,,,,+1,,,,,,,,,,,
Corpse Heap ,1,"** Holds 100 dead. Will spring up automatically if there are not enough graveyards to hold the dead.

",,,,,,,,,,,,,,,,,,,,,,,,,,,+3,,,+3,,+5,
Crypts ,1,"** Holds 200 dead._Discounts: Graveyard_

",2400,,800,,,,4800,,,,,8000,,,,,,,,,,,+2,,,,,,,,,,
Dump ,1,"**

",600,,,,,,,,,,,5400,,,,,,,,,,,,,,,,-1,,,,,
Exotic Artisan ,1,"** Must be adjacent to housing. Adds 1 unusual good to market, such as mechanical devices.

",2400,2400,1600,,,,,,1600,,,8000,,,,,,,,+2,,,,+1,,,,,,,,,
Foreign Quarter ,4,"** One non-Gothic culture gains one free therapy per downtime phase.

",9000,,,,3000,,0,,,,3000,15000,,,,,+1,+4,,+4,,,+3,,+2,,,,+1,,+3,,
Foundry ,2,"** Metal costs on construction are reduced by 10%. May benefit up to 5x.

",,,2400,1600,,,4000,,,,,8000,,,,,,+2,+1,+5,,,,,,,+3,+5,,,,,
Gallows ,2,"**

",4800,,1600,,,,0,,1600,,,8000,,,,,+4,,,,,,,,+3,,,,,,,,
Garrison ,2,"** Allows military stationing. The ruler may take one unit off of the map, add population, and remove the food requirement. _Discounts: Barracks. Upgrade: Military Academy_

",8400,,2800,,1400,,0,,,,1400,14000,,,+2,+5,+2,,,,,,,+4,,+1,,,,,+1,,
